#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_apulum;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_2;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_2_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_3;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_3_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_4;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_4_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_5;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_5_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_6;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_6_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_7;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_7_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_cairun;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_adj;Cairunian;;cairuner;;;;;;;;;;;x
b_cairun_2;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_2_adj;Cairunian;;cairuner;;;;;;;;;;;x
b_cairun_3;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_3_adj;Cairunian;;cairuner;;;;;;;;;;;x
b_cairun_4;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_4_adj;Cairunian;;cairuner;;;;;;;;;;;x
b_cairun_5;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_5_adj;Cairunian;;cairuner;;;;;;;;;;;x
b_cairun_6;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_6_adj;Cairunian;;cairuner;;;;;;;;;;;x
b_cairun_7;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
b_cairun_7_adj;Cairunian;;cairuner;;;;;;;;;;;x
