province;red;green;blue;x;x
1;161;33;49;Cairun;x
2;100;109;231;Apulum;x
3;1;1;1;PLACEHOLDER3;x
4;1;1;2;PLACEHOLDER4;x
5;1;2;2;PLACEHOLDER5;x
6;2;2;2;PLACEHOLDER6;x
7;2;2;3;PLACEHOLDER7;x
8;2;3;3;PLACEHOLDER8;x
9;3;3;3;PLACEHOLDER9;x
10;3;3;4;PLACEHOLDER10;x
11;3;4;4;PLACEHOLDER11;x
12;4;4;4;PLACEHOLDER12;x
13;4;4;5;PLACEHOLDER13;x
14;4;5;5;PLACEHOLDER14;x
15;5;5;5;PLACEHOLDER15;x
16;5;5;6;PLACEHOLDER16;x
17;5;6;6;PLACEHOLDER17;x
18;6;6;6;PLACEHOLDER18;x
19;6;6;7;PLACEHOLDER19;x
20;6;7;7;PLACEHOLDER20;x
21;7;7;7;PLACEHOLDER21;x
22;7;7;8;PLACEHOLDER22;x
23;7;8;8;PLACEHOLDER23;x
24;8;8;8;PLACEHOLDER24;x
25;8;8;9;PLACEHOLDER25;x
26;8;9;9;PLACEHOLDER26;x
27;9;9;9;PLACEHOLDER27;x
28;9;9;10;PLACEHOLDER28;x
29;9;10;10;PLACEHOLDER29;x
30;10;10;10;PLACEHOLDER30;x
31;10;10;11;PLACEHOLDER31;x
32;10;11;11;PLACEHOLDER32;x
33;11;11;11;PLACEHOLDER33;x
34;11;11;12;PLACEHOLDER34;x
35;11;12;12;PLACEHOLDER35;x
36;12;12;12;PLACEHOLDER36;x
37;12;12;13;PLACEHOLDER37;x
38;12;13;13;PLACEHOLDER38;x
39;13;13;13;PLACEHOLDER39;x
40;13;13;14;PLACEHOLDER40;x
41;13;14;14;PLACEHOLDER41;x
42;14;14;14;PLACEHOLDER42;x
43;14;14;15;PLACEHOLDER43;x
44;14;15;15;PLACEHOLDER44;x
45;15;15;15;PLACEHOLDER45;x
46;15;15;16;PLACEHOLDER46;x
47;15;16;16;PLACEHOLDER47;x
48;16;16;16;PLACEHOLDER48;x
49;16;16;17;PLACEHOLDER49;x
50;16;17;17;PLACEHOLDER50;x
51;17;17;17;PLACEHOLDER51;x
52;17;17;18;PLACEHOLDER52;x
53;17;18;18;PLACEHOLDER53;x
54;18;18;18;PLACEHOLDER54;x
55;18;18;19;PLACEHOLDER55;x
56;18;19;19;PLACEHOLDER56;x
57;19;19;19;PLACEHOLDER57;x
58;19;19;20;PLACEHOLDER58;x
59;19;20;20;PLACEHOLDER59;x
