#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_apulum;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_2;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_2_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_3;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_3_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_4;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_4_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_5;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_5_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_6;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_6_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_apulum_7;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
b_apulum_7_adj;Apulumian;;apulumer;;;;;;;;;;;x
b_archeron;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_archeron_2;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_2_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_archeron_3;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_3_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_archeron_4;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_4_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_archeron_5;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_5_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_archeron_6;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_6_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_archeron_7;Archeron;Archeron;Archeron;;Archeron;;;;;;;;;x
b_archeron_7_adj;Archeronian;;archeroner;;;;;;;;;;;x
b_aurbus_templas;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurbus_templas_2;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_2_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurbus_templas_3;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_3_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurbus_templas_4;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_4_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurbus_templas_5;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_5_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurbus_templas_6;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_6_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurbus_templas_7;Aurbus Templas;Aurbus Templas;Aurbus Templas;;Aurbus Templas;;;;;;;;;x
b_aurbus_templas_7_adj;Aurbus Templasian;;Aurbus Templaser;;;;;;;;;;;x
b_aurion;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_aurion_2;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_2_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_aurion_3;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_3_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_aurion_4;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_4_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_aurion_5;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_5_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_aurion_6;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_6_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_aurion_7;Aurion;Aurion;Aurion;;Aurion;;;;;;;;;x
b_aurion_7_adj;Aurionian;;aurioner;;;;;;;;;;;x
b_bay_of_gulim;Bay of Gulim;Bay of Gulim;Bay of Gulim;;Bay of Gulim;;;;;;;;;x
b_bay_of_gulim_adj;Bay of Gulimian;;Bay of Gulimer;;;;;;;;;;;x
