#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_apulum;Apulum;Apulum;Apulum;;Apulum;;;;;;;;;x
c_apulum_adj;Apulumian;;apulumer;;;;;;;;;;;x
c_cairun;Cairun;Cairun;Cairun;;Cairun;;;;;;;;;x
c_cairun_adj;Cairunian;;cairuner;;;;;;;;;;;x
c_prov10;PROV10;PROV10;PROV10;;PROV10;;;;;;;;;x
c_prov10_adj;PROV10ian;;prov10er;;;;;;;;;;;x
c_prov11;PROV11;PROV11;PROV11;;PROV11;;;;;;;;;x
c_prov11_adj;PROV11ian;;prov11er;;;;;;;;;;;x
c_prov12;PROV12;PROV12;PROV12;;PROV12;;;;;;;;;x
c_prov12_adj;PROV12ian;;prov12er;;;;;;;;;;;x
c_prov13;PROV13;PROV13;PROV13;;PROV13;;;;;;;;;x
c_prov13_adj;PROV13ian;;prov13er;;;;;;;;;;;x
c_prov15;PROV15;PROV15;PROV15;;PROV15;;;;;;;;;x
c_prov15_adj;PROV15ian;;prov15er;;;;;;;;;;;x
c_prov16;PROV16;PROV16;PROV16;;PROV16;;;;;;;;;x
c_prov16_adj;PROV16ian;;prov16er;;;;;;;;;;;x
c_prov17;PROV17;PROV17;PROV17;;PROV17;;;;;;;;;x
c_prov17_adj;PROV17ian;;prov17er;;;;;;;;;;;x
c_prov18;PROV18;PROV18;PROV18;;PROV18;;;;;;;;;x
c_prov18_adj;PROV18ian;;prov18er;;;;;;;;;;;x
c_prov19;PROV19;PROV19;PROV19;;PROV19;;;;;;;;;x
c_prov19_adj;PROV19ian;;prov19er;;;;;;;;;;;x
c_prov20;PROV20;PROV20;PROV20;;PROV20;;;;;;;;;x
c_prov20_adj;PROV20ian;;prov20er;;;;;;;;;;;x
c_prov21;PROV21;PROV21;PROV21;;PROV21;;;;;;;;;x
c_prov21_adj;PROV21ian;;prov21er;;;;;;;;;;;x
c_prov22;PROV22;PROV22;PROV22;;PROV22;;;;;;;;;x
c_prov22_adj;PROV22ian;;prov22er;;;;;;;;;;;x
c_prov23;PROV23;PROV23;PROV23;;PROV23;;;;;;;;;x
c_prov23_adj;PROV23ian;;prov23er;;;;;;;;;;;x
c_prov24;PROV24;PROV24;PROV24;;PROV24;;;;;;;;;x
c_prov24_adj;PROV24ian;;prov24er;;;;;;;;;;;x
c_prov25;PROV25;PROV25;PROV25;;PROV25;;;;;;;;;x
c_prov25_adj;PROV25ian;;prov25er;;;;;;;;;;;x
c_prov26;PROV26;PROV26;PROV26;;PROV26;;;;;;;;;x
c_prov26_adj;PROV26ian;;prov26er;;;;;;;;;;;x
c_prov27;PROV27;PROV27;PROV27;;PROV27;;;;;;;;;x
c_prov27_adj;PROV27ian;;prov27er;;;;;;;;;;;x
c_prov28;PROV28;PROV28;PROV28;;PROV28;;;;;;;;;x
c_prov28_adj;PROV28ian;;prov28er;;;;;;;;;;;x
c_prov29;PROV29;PROV29;PROV29;;PROV29;;;;;;;;;x
c_prov29_adj;PROV29ian;;prov29er;;;;;;;;;;;x
c_prov3;PROV3;PROV3;PROV3;;PROV3;;;;;;;;;x
c_prov3_adj;PROV3ian;;prov3er;;;;;;;;;;;x
c_prov30;PROV30;PROV30;PROV30;;PROV30;;;;;;;;;x
c_prov30_adj;PROV30ian;;prov30er;;;;;;;;;;;x
c_prov31;PROV31;PROV31;PROV31;;PROV31;;;;;;;;;x
c_prov31_adj;PROV31ian;;prov31er;;;;;;;;;;;x
c_prov32;PROV32;PROV32;PROV32;;PROV32;;;;;;;;;x
c_prov32_adj;PROV32ian;;prov32er;;;;;;;;;;;x
c_prov33;PROV33;PROV33;PROV33;;PROV33;;;;;;;;;x
c_prov33_adj;PROV33ian;;prov33er;;;;;;;;;;;x
c_prov34;PROV34;PROV34;PROV34;;PROV34;;;;;;;;;x
c_prov34_adj;PROV34ian;;prov34er;;;;;;;;;;;x
c_prov35;PROV35;PROV35;PROV35;;PROV35;;;;;;;;;x
c_prov35_adj;PROV35ian;;prov35er;;;;;;;;;;;x
c_prov36;PROV36;PROV36;PROV36;;PROV36;;;;;;;;;x
c_prov36_adj;PROV36ian;;prov36er;;;;;;;;;;;x
c_prov37;PROV37;PROV37;PROV37;;PROV37;;;;;;;;;x
c_prov37_adj;PROV37ian;;prov37er;;;;;;;;;;;x
c_prov38;PROV38;PROV38;PROV38;;PROV38;;;;;;;;;x
c_prov38_adj;PROV38ian;;prov38er;;;;;;;;;;;x
c_prov39;PROV39;PROV39;PROV39;;PROV39;;;;;;;;;x
c_prov39_adj;PROV39ian;;prov39er;;;;;;;;;;;x
c_prov4;PROV4;PROV4;PROV4;;PROV4;;;;;;;;;x
c_prov4_adj;PROV4ian;;prov4er;;;;;;;;;;;x
c_prov40;PROV40;PROV40;PROV40;;PROV40;;;;;;;;;x
c_prov40_adj;PROV40ian;;prov40er;;;;;;;;;;;x
c_prov41;PROV41;PROV41;PROV41;;PROV41;;;;;;;;;x
c_prov41_adj;PROV41ian;;prov41er;;;;;;;;;;;x
c_prov5;PROV5;PROV5;PROV5;;PROV5;;;;;;;;;x
c_prov5_adj;PROV5ian;;prov5er;;;;;;;;;;;x
c_prov6;PROV6;PROV6;PROV6;;PROV6;;;;;;;;;x
c_prov6_adj;PROV6ian;;prov6er;;;;;;;;;;;x
c_prov7;PROV7;PROV7;PROV7;;PROV7;;;;;;;;;x
c_prov7_adj;PROV7ian;;prov7er;;;;;;;;;;;x
c_prov8;PROV8;PROV8;PROV8;;PROV8;;;;;;;;;x
c_prov8_adj;PROV8ian;;prov8er;;;;;;;;;;;x
c_prov9;PROV9;PROV9;PROV9;;PROV9;;;;;;;;;x
c_prov9_adj;PROV9ian;;prov9er;;;;;;;;;;;x
