#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lisaran;Lisaran;;;;;;;;;;;x
lisvar'ii;Lisvar'ii;;;;;;;;;;;x
old_draconic;Old Draconic;;;;;;;;;;;x
imperian;Imperian;;;;;;;;;;;x
kilzari;Kilzari;;;;;;;;;;;x
underwall;Underwall;;;;;;;;;;;x
ryker;Ryker;;;;;;;;;;;x
eliam;Eliam;;;;;;;;;;;x
artanian;Artanian;;;;;;;;;;;x
ilfizan;Ilfizan;;;;;;;;;;;x
talisan;Talisan;;;;;;;;;;;x
bonemen;Bonemen;;;;;;;;;;;x
nightmen;Nightmen;;;;;;;;;;;x
astoii;Astoii;;;;;;;;;;;x
caspiarri;Caspiarii;;;;;;;;;;;
dunic;Dunic;;;;;;;;;;;x
shaiii;Shai'ii;;;;;;;;;;;x
blistorii;Blistorii;;;;;;;;;;;x
rezzahain;Rezzahain;;;;;;;;;;;x
karvellis;Karvellis;;;;;;;;;;;x
siviik;Siviik;;;;;;;;;;;x
tyvasian;Tyvasian;;;;;;;;;;;x
reyesh;Reyesh;;;;;;;;;;;x
